topic	definition
V-PXM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PXM-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PXM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PXN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> iNfinitive</p>
V-PXO-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PXO-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PXP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PXP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PXP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PXP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PXP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PXP-DPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PXP-DPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PXP-DSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PXP-DSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PXP-GPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-PXP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PXP-GPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PXP-GSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PXP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PXP-GSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PXP-NPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-PXP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-PXP-NPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-PXP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-PXP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-PXP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-PXS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-PXS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-PXS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PXS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PXS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PXS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-RAI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-RAI-1P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-RAI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-RAI-1S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-RAI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-RAI-2P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-RAI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-RAI-2S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-RAI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-RAI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-RAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-RAI-3S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-RAM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-RAN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iNfinitive</p>
V-RAN-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iNfinitive</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p>
V-RAP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-RAP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-RAP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-RAP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-RAP-ASM-C	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p>Contracted form</p>
V-RAP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-RAP-DPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-RAP-DSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-RAP-DSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-RAP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-RAP-GPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-RAP-GSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-RAP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-RAP-GSN-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p><p>ATTic form</p>
V-RAP-NPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-RAP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-RAP-NPM-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p>ATTic form</p>
V-RAP-NPM-C	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p>Contracted form</p>
V-RAP-NPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-RAP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-RAP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-RAP-NSM-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p>ATTic form</p>
V-RAP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-RAS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-RAS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-RAS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-RAS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-RDI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-RMI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-RMI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-RMP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-RMP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-RMP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-RNI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-RNI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> peRfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
